,OperadOR
Air taxi - Rumo Notre Air Taxi,1
Les Ailes de Gaspé Inc.,1
Aerolift Philippines,1
Wasaya Airways,1
US Airways Express,1
Tropical Airways,1
Khalatyrka,1
Hageland Aviation Services Inc.,1
Servicios Aeronauticos Sucre (SASCA),1
Jet Pro,1
Jack Harter Helicopters,1
Ryan Blake Air Charter,1
Air Sunshine,1
Ruiban & Duran Compania Aérea,1
BHS - Brazilian Helicopter Services,1
Heringer Air Taxi,1
Comvac Aviation,1
Hallo Bay Air - Air Taxi,1
Brit Air,1
Paradise Tour Helicopters,1
Astro Air Taxi,1
Pulkovo Aviation Enterprise,1
Prestige Airlines (Cargo) Charter,1
Bashkirian Airlines / DHL Worldwide Express,1
Air Transat,1
Papillon Grand Canyon Helicopters of Las Vegas,1
Naske Air,1
Russ Air Transport Company,1
Private - Overtec Company,1
Private  - Daewoo Shipbuilding,1
Vladivostokavia,1
Manunggal Air,1
Faraz Qeshm Airlines,1
Private - Techint  group,1
SFC Vietnam - Charter - Full Account,1
Jetwingsco Inc. - Private Charter,1
Air Caraibes,1
Vnukovo Airlines,1
Military - Florida Army National Guard,1
Gum Air Charter,1
Northern Illinois Flight Center,1
E.A.S. Aeroservizi,1
Lineas Aereas Suramericanas,1
North Bay Charter,1
Rutaca Airlines,1
Majestic Air Cargo,1
Military - Tentara Nasional Indonesia Navy,1
Military - People's Liberation Army,1
Servicio Aereo Manchupo,1
Asa Pesada,1
Superior Aviation,1
Aca-Ancargo,1
Victoria Airlines,1
Binter Mediterráneo,1
Military - Angolan Armed Forces,1
Aero Ferinco Charter,1
Airquarius Aviation - Charter,1
Sky Executive Air Services,1
EAS Airlines (Executive Airline Services),1
SELVA Colombia,1
Air China,1
Tadair,1
Charter - Aerotaxi,1
Svedijos Prekés,1
Tiramavia,1
Military - Angolan  Air Force,1
Petroproducción,1
Procuraduría General de la República,1
Ibertrans Aérea,1
Agco Corp,1
BAL Bremerhaven Airline,1
Heliandes,1
Eagle Air,1
"Military - Russian, cargo",1
ELK Aviation Co. (leased from Eminex),1
Charter - IRS Aero,1
ERA Aviation - Air Taxi,1
Perimeter Airlines,1
PenAir,1
Flightline,1
Scandinavian Airlines (SAS) / Private,1
Air Saint Maurice Inc.,1
Atlantic Airlines,1
Pavair,1
Flash Air,1
Blue Wing Airlines,1
Military - Chadian Air Force,1
Inter-Island,1
Heli-USA Airways,1
Regional Compagnie Aerienne Europeenne,1
Moldovan Aeriantur-M Air Cargo,1
Adam Air,1
Air ambulance - Mercy Air Services,1
Military - Russian Air Force/Uzbekistan Airways,1
Atlantic Airways,1
Gol Airlines / Private,1
Military - Russian Army,1
Pulkovo Airlines,1
Sibir (S7),1
Mango Airlines,1
Air São Tomé,1
Military - Government of Macedonia,1
Saskatchewan Government Northern Air Operations,1
Armavia,1
U.S. Government (leased),1
Military - Lybian Arab Air Force,1
Military - Kenya Air Force,1
Team Air,1
TriCoastal Air,1
Military - Slovak Air Force,1
Evolga,1
Chalk's Ocean Airways,1
Sosoliso Airlines,1
Bellview Airlines,1
Wimbi Dira Airways,1
Bahia Taxi Aéreo	Bahia Taxi Aéreo	Bahia Taxi Aéreo,1
UTAir Airlines,1
Transaviaexport Airlines,1
Air Services,1
United Nations Mission,1
BHS - Brazilian Helicopter Service Air Taxi,1
Santa Barbara Airlines,1
Dirgantara Air Service,1
Military - Macedonian Air Force,1
Transaven,1
Castle Aviation,1
"Evergreen Alaska Helicopters, Inc.",1
Atlasjet Airlines,1
Nacional de Aviacion,1
Africa One Congo,1
One-Two-Go Airlines,1
Galaxy Kavatsi Airlines,1
Great Lakes Business Complany,1
Two Taxi Aero,1
China Airlines,1
SeaWind Aviation,1
Air Moorea,1
Atran,1
Taquan Air Service,1
Liard Air,1
PMT Air,1
Mongolian Defense Ministry,1
University of Michigan Health System,1
Paramount Airlilnes,1
Safe Air Complany,1
Military - Russian,1
Air Kasai,1
Kavatshi Airlines,1
TANS Peru,1
Venezolana,1
Med Flight Air Ambulance - Private,1
Corporate Airlines (American Connection),1
Pacific Air,1
Aerovanguardia,1
Pinnacle Airlines/Northwest Airlink,1
Sarit Airlines,1
Air Flamence,1
Military - Greek Army,1
Mavrik Aire Transport,1
Volga-Avia Express,1
Air Taroma,1
Airlines of PNG,1
BHS - Brazilian Helicopter Service  Air Taxi,1
Dodita Air Cargo,1
United Nations -  UTair Charter,1
Gabon Express,1
Blue Bird Aviation,1
Aray-Avia,1
AZAL Cargo Company,1
Rico Linhas Aereas,1
El Magal Aviation,1
Charter - Air Cush,1
Aerotransportes Petroleros,1
Procuradoria General de la Republica,1
Air Ambulance - Med-Trans Corp.,1
Azov Avia Airlines,1
Kish Airlines,1
Private - Hendrick Motorsports Inc.,1
Business Jet Services,1
Helios Airways,1
Presidental Airways Inc. - Air Taxi,1
Copterline,1
Tuninter,1
Ecuatair,1
Marsland Aviation,1
Charter - Maniema Union (owner Victoria Air),1
Military - Zambia Air Force,1
Transportes Aereos Don Carlos - Charter,1
Aero-Tropics,1
Kisangani Airlift,1
Airwork NZ,1
Military - Fuerza Del Peru,1
Military - Bulgarian,1
GT Air,1
Regional Airlines,1
Air Global,1
Indonesian National Police,1
Circuit City Stores - Charter,1
Air West,1
Kam Air,1
Farnair Hungary,1
Military - U.S. Marines,1
Military - Colombian government,1
Tura Air Enterprise,1
NHR Táxi-Aéreo,1
Airline Transport,1
Guardia Nacional de Venezuela,1
Glow Air/Air Castle - Charter,1
Ptarmigan Airways,1
Private - Parajump air show,1
Military - Luftwaffe,1
Trans World Airlines / Castleton Inc.,1
Air Laos,1
TAA,1
Soc. de Tr. Aériens d'Extrême Orient,1
Transportes Aereos Nacionales,1
Darbhanga Aviation,1
Societe Indochinoise de Raviteillement,1
Trans Canada Air Lines / RCAF,1
"South African Airways, leased from British Overseas Airways",1
Czech Airlines,1
Misair,1
British Commonwealth Pacific Airlines,1
Compagnie Sila,1
Resort Airlines,1
LAN Chile,1
LACSA,1
Meteor Air,1
Airways,1
Caribbean International Airways,1
Transportes Aéreos Salvador,1
u.s. Air Force,1
UTA,1
Air Outremer,1
Lancashire Aircraft Corporation (Skyways),1
Associated Air Transport,1
Syrian Air,1
Johnson Flying Service,1
Ontario Hydro,1
Avicsa,1
Interamericana de Aviacion,1
Lebanese International Airways,1
èkoda (India) Ltd,1
Kenting Air,1
Adastra Airways,1
U.S. Overseas Airways,1
Japanese Air Force,1
Douglas Aircraft,1
AIDA,1
Empresa Aviacion del Pacifico,1
Aerovias Guest,1
Britavia,1
Jordan International Airlines,1
Piedmont,1
National Air Operators,1
Starways,1
Transport Aerien Intercontinentaux (France),1
Spartan Air Services,1
Cruzeiro Do Sud,1
Peninsular,1
Societe France Hydro,1
Currey Air Transport,1
Lineas Areas Unidas,1
Union Aéromaritime de Transport,1
de Havilland Dove,1
West African Airways,1
Rutas Aéreas Nacionales SA,1
TABSO,1
Aero Brasil,1
Private - de Havilland Aircraft,1
Curtiss-Reid Flying Services Ltd. (Canada),1
Svenska Aero,1
Robinson Airlines,1
"SAVG (S.A. Viacao Gaucha, )SAVG",1
Cie Air Transport,1
Westair Transport,1
SEMAF,1
Devlet Hava Yollairi,1
Fairflight Ltd.,1
Societe Indochinoise de Transport Aeriens,1
Societe Transatlantique Aerienne,1
Ejercito del Aire,1
Bharat Airways,1
Pakair,1
Arrow Airlines,1
Aero Holland,1
Royal Indian Air Force,1
Harrington's Inc,1
Eastern Air Lines / Military - Bolivian Air Force,1
Shell Co of Ecuador,1
Lineas Aéreas Brasil,1
Eastern Air Lines / Military - USN,1
Air Transport Associates,1
Standard Airlines,1
Mac Roberston-Miller Airlines,1
T.A. Intercontinentaux,1
Air Carriers,1
Military - TAM,1
Continental Charters,1
Phoenix Airlines,1
Airwork,1
Transportes Areos Nacionales,1
Military - Navy,1
Morton Air Services,1
Swedish Air Force,1
Fred Olsen Flyveselskap,1
North Continental Airlines (Robin Airlines),1
US Airlines,1
Société Aérienne de Tr. Tropicaux,1
STAAP,1
Lineas Aereas Unidas,1
Mid Continent Airlines,1
Military - U. S. Air Force,1
Military - Guatemalan Air Force,1
Aero Transportes,1
Frigorifico Cooperativo Los Andes,1
Societe Alpes Provence,1
Air Outre-Mer,1
Lineas Aéreas Trans. Brasileira,1
Cubana de Aviacion / Military -  US Navy,1
Siamese Airways,1
Southwest Airways,1
Pacific Overseas Airways,1
Transportes Aereos Mexicanos,1
Herfurtner Company,1
TAROM,1
Derby Aviation,1
Fujita Koku Kabushki Kai,1
American Air  Export & Import Co.,1
Danish Air Force,1
Sadai,1
Military - Japan Air Self Defense Force,1
Saudi Arabian Royal Flight,1
Trans Aircraft (Western) Ltd.,1
Middle East Airlines / Military - Turkish Air ForceC-47,1
Skyvan Airways,1
Wien,1
Carvair ATL-98,1
VASP / Private,1
Czechoslovak Airlinex,1
Private - Ashland Oil Company,1
Panair do Brazil,1
East Provincial Airways,1
Channel Airways,1
AVISPA,1
Military - Colombian Air Force,1
Societa Aerea Mediterranea,1
Caledonian Airways,1
Corporacion Boliviano de Fomento,1
Military - Força Aérea Portuguesa,1
Rhodesian Air Services,1
Bay of Plenty Airways,1
Military - U.S. Air Force / Military -  U.S. Air Force,1
Aeronaves de Panama,1
British Aircraft Corporation,1
Servicios Aéreos Cochabamba,1
Fairways (Filipinas Orient Airways),1
Aerolineas El Salvador,1
Aerovias del Norte,1
Aeroflot / Kazakhstan,1
Lineas Aéreas Sud Americana,1
Fleming Airways System Transport,1
Air Congo (BIAS)?,1
Linjeflyg,1
Bonanza Airlines,1
Mustang Aviati,1
Interocean,1
TASSA,1
Aerolineas Litoral Argentina,1
Military - US Air Navy,1
Military  - US Air Force,1
Wein Alaska Airlines Inc.,1
Private - Facilities Management Co.,1
Commercial Air Taxi,1
Slick Airways - Cargo,1
Taxi Aereo de Santander,1
Snow Valley Ski Lines,1
Paradise Airlines,1
Fuji Airlines,1
South Central Airlines,1
Air Haiti International,1
Transair Sweden,1
Bristol Aeroplane Co.,1
President Airlines,1
Tranair,1
Militiary - US Air Force,1
Aerolineas Nacionales,1
Lineas Aéreas Interpolar,1
Transportes Aereos Peruanos,1
Austria-Flugdienst,1
Southern Cross Airways,1
Dwyer Flying Service - Private Charter,1
Air Jordan,1
Linea Expresa Bolivar,1
California Air Freight,1
Southeast Airlines,1
ARTOP Aerotopografica LDA,1
Military - TAM (Bolivia),1
Independent Air Travel,1
Dan-Air Services,1
Capital Airlines / Military - Air National Guard,1
United Air Lines / Military - U.S. Air Force,1
Transportes Aereos Orientales,1
Military - U.S. Air Force/Military - U.S. Air Force,1
Réseau Aérien Interinsulaire,1
Military - U.S.  Air Force / Military - U.S. Navy,1
Northern Wings,1
Straits Air Freight Express,1
Aquilla Airways,1
PAS,1
Transair,1
Reeve Aleutian Airlines,1
Flyve Tjenesten,1
Lineas Aéreas Costarricenses,1
REAL Transportes Aereos,1
Cunard Eagle Airways,1
Transcontinental,1
Continentale Deutsche Luftreederei,1
Air Cameroon,1
Arctic Pacific,1
Austrian Airlines,1
Don Everall Aviation,1
Deutsche Flugdienst,1
Chicago Helicopter Airways,1
Military - U.S. Misson,1
T.A. Intercontinentaux (France),1
Gulf Aviation (Kalinga Airways),1
Pacific Northern Airlines,1
Transamerican Air Transport,1
Balair,1
Sobelair SA (Belgium),1
Lloyd Aereo Colombiano,1
SAMSA,1
REAL / Military - U.S. Navy,1
Transportes Aéreos de Timor,1
California Aircraft,1
Kappel-Van Eyck Airways,1
Strato Freight,1
Tech - Aeronautical Explotiation,1
Bristop Aeroplane Company,1
Rubner Flying Service,1
Servicio Aereo Columbiano / SCADTA,1
Wyoming Air Service,1
Knowles Flying Service of Detroit,1
Gor'ky Eskadril'ya,1
Holdens Air Transport Service,1
Hillman's Airways,1
United Air Services,1
Aerevias Centrales Air Service,1
Pan American Airways (Scadta),1
Kalinin,1
Societa Anonima Aero Expresso Italiana,1
Palwaukee,1
Aeropostale - La Tecoere Company,1
Eurasia,1
Varney Airlines,1
Hunter Airways,1
Lloyd Aero Boliviano,1
New England Airways,1
Century Air Lines,1
Transamerican Airlines,1
Bimini Airways,1
Century Pacific Lines,1
Northwest Airways,1
"NY, Phil., Washington AW",1
Chicago-Detroit Airways,1
Wedell-Williams Air Service Corporation,1
Fuerza Aerea Colombiana,1
Aero Mayflower Transit Co,1
Fuerzs Aerea De Chile,1
Magyar Legiforagalmi,1
Wilson Airways,1
Ginger Coote Airways,1
Cruzeiro do Sul,1
United Airways of New Zealand,1
Lineas Aéreas Mineras,1
TsAGI,1
LOT,1
Lot Polish Airlines,1
Private - Purdue Reasearch Foundation,1
ENTA,1
Deutsche Zeppelin Reederei,1
Panama Airways,1
North Sea Aerial and General Transport,1
Blue Bird Air Service,1
Pittsburgh Skyways Inc.,1
Chicago Southern Airlines,1
Guernsey Airways,1
Den Norske Luftfartskole,1
Lan Chile,1
Military - Fuerza Aerea Colombiana,1
Air Bleu,1
Chamberlin Flying Service,1
Holyman Airways,1
Australian Aerial Services,1
Guiena Airways,1
CSA Czech Airlines,1
Dominion Air Lines,1
Reynolds Airways,1
Fokker,1
Compagnie Internationale de Navigation Aérienne,1
Deutche Lufthansa,1
Zakavia,1
Military - French Navy,1
CCCP,1
Daimler Airways,1
Campagnie France Roumaine,1
Grands Express Aeriens (Air Union),1
Amee de l'Air,1
de Havilland Air Service,1
Compagnie Franco-Roumaine de Navigaation Aerienne,1
Cie des Messageries Aeriennes,1
Daimler Airways / Grands Express Aeriens,1
Aero Limited,1
Military - U.S. Army Air Service,1
West Australian Airways,1
Franco-Roumaine,1
Military - Royal Airship Works,1
By Air,1
Compañia Colombiana de Navegación Aérea,1
Aircraft Travel Transport,1
Caproni Company,1
Wingfoot Air Express Goodyear Tire,1
Ford Air Freight Inc.,1
British Columbia Airways,1
National Parks Airways,1
Bremerton-Seattle Air Taxi / Gorst Air Lines,1
Embry Riddle Company,1
Alaska-Washington Airways,1
Wings Ltd,1
Military - British Air Ministry,1
Walcot Air Line,1
Cross Airways,1
Canadian Colonial Airways,1
Central  Airlines (Universal Aviation Corporation),1
Maddux Airlines,1
S.A.M. Società Aerea Mediterranea,1
Corp. Aeronautica de Transportes,1
Pickwick Airways,1
Sunbeam Air Transport Co.,1
Associated Aviators,1
Ukvozduchput,1
Middle States Airlines,1
Bodensee Aerolloyd,1
MALERT,1
Maddux Airlines / Military - U.S.Army Air Force,1
New Standard Airlines,1
Skyline Transportation Company,1
Aeroespresso,1
Interstate Airlines,1
Spokane Airways,1
Dai Nippon,1
Macchi,1
TAM (Peru),1
CTA Languedoc Roussillon,1
Transport Comp. Algerienne de T.A.,1
Coastal Air Lines,1
Servicio Aéreo Panini,1
Columbia Air Cargo,1
TARS,1
Trafik-Turist-Transportflyg,1
Société Auxiliare de Navigation Aérienne,1
Philippine Air Express,1
Stratofreight,1
Societe Aerienne du Littoral,1
Transporturile Aeriene Romano-Sovietice,1
Aero Cargo,1
Burke Air Transport,1
Flugefelag,1
VIARCO,1
Military - Corrieri Aerei Militari,1
Aerovias Cuba International,1
International Air Freight,1
Spencer Airways / Ceskoslovenske Aerolinie,1
Nationwide Air Transport,1
Kansas City Southern Skyways,1
CATA,1
FAMA (Argentina),1
Winged Cargo Inc.,1
Lineas Aéreas Costarricenses  LACSA,1
Dominicana,1
Airline Transport Carriers,1
Det Danske Luftfartselskab,1
Aerflot,1
British European Airways / Military - British,1
Saint Lawrence Airways,1
Dalmia Jain Airways,1
Viacao Aerea Gaucha S.A.,1
Coastal Cargo,1
Seattle Air Charter,1
Airborne Transport,1
Avio Linee ItalianeAvio Linee Italiane,1
Pakistan Airways,1
Mannin Airways,1
Pacific Alaska Air Freight,1
Onzeair,1
Società Aerea Teseo,1
ALFA,1
Rimouski Airlines,1
Cathy Pacific,1
Hargreaves Airways,1
Alpha Airways,1
Mercury Aviation,1
New Guinea Air Traders,1
British European Airways / Military - Soviet Air Force,1
Société de Transports Aériens,1
Bruning Aviation,1
Commercial Airways,1
Empressa Commun. Aéreas de Veracruz,1
Socotra,1
Japan Air / Japan Flying School,1
National Air Transport Services,1
DETA,1
Military - U.S. Army Air Forces / Military - U.S. Army Air Forces,1
Private - Boeing Aircraft Company,1
DDL,1
Kranoyarskie Vozhjushnye Trassy,1
American Airlines / Military - USAF,1
American Export Airlines,1
Panair do Brasil SA,1
Guinea Airways Limited,1
Military - U.S. Army Air Force,1
Manchurian Air Lines,1
Great Western and Southern Air Lines,1
Malert Airlines,1
Ala Littolia,1
Lloyd Aero Boliviano SA,1
Douglas Aircraft Company,1
Scarta,1
Indian National Airways,1
British American Air Services,1
KLM Royal Duch Airlines,1
Military - Ecuadorian Air Force,1
Marine Airways,1
Japan Aviation Corporation,1
North Queensland Airways,1
Transcontinental &Western Air,1
Military - Royal Netherlands East Indies Air Force,1
U. S. Air Force,1
CATC,1
DNL Norwegian Air Lines,1
Air Ocean,1
Military - Royal Netherlands Naval Air Service,1
American Overseas Airlines,1
Railway Air Service Ltd.,1
Mt. McKinley Airfreight,1
Trans-Luxury Airlines,1
Trans Luxury Airlines,1
Atlantic Central Airlines,1
Communicaciones Aereos de veracruz,1
Military -  (2) U.S. Army Air Forces,1
ANDESA,1
Viking Air Transport,1
Trans-Canada Air Lines,1
Military U.S. Navy / Military - U.S. Navy,1
Railway Air Services Ltd.,1
British Overseas Airways /Qantas,1
Mililtary - Royal Canadian Air Force,1
Polyarnya Aviatsiya,1
National Skyway Freight Co.,1
Lineas Aereas Mineras,1
Eastern Air Lines / Military - U.S. Army Air Corps,1
Mac Robertson Miller Airlines,1
Page Airways,1
Navegacao Aerea Brasileira,1
Miami Aviaition/Air Manila,1
British United Airways,1
Mattagami Skyways,1
Air Taxi - Tundra Copters,1
Military - Salvadoran Air Force,1
Britt Airways,1
North East Bolivian Airways,1
Skycraft Air Transport,1
Inuvik Coastal Airways,1
TAMPA Colombia,1
Iberia Airlines / Aviaco,1
Pennsylvania Airlines,1
Air Illinois,1
British Airways Helicopters,1
CAAK,1
Reeve Aleutian Airways,1
SAN Ecuador,1
Japan Air Self-Defence Force,1
Air Liberia,1
Munz Northern Airlines,1
Central Airlines,1
Aeroleo Taxi Aereo,1
46826/109,1
Aeronor Chile,1
Pioneer Airlines,1
Cia Brasiliera de Tratores,1
Aerolineas Condor,1
Western Helicopter,1
Air Affaires Gabon,1
Frigorifico Reyes,1
State Airlines,1
VOTEC / VOTEC,1
Mililtary - Soviet Air Force,1
Fuerza Aérea Colombiana,1
General Aviation Inc.,1
Aeroflot / Soviet Air Force,1
Carga Aereo Transportada,1
YPF,1
North Pacific Airlines,1
Galaxy Airlines,1
Air Taxi - EMS,1
TPI International Airways,1
Military - Fuerza Aérea del Peru,1
Village Airways,1
Labradore Airways,1
Zantop International Airlines,1
Nahanni Air Services,1
AECA Cargo,1
APRL,1
MMM Aero Services,1
Wings West Airlines / Private,1
Airfast Indonesia,1
Aviation Enterprises,1
Bangladesh Biman,1
South Pacific Island Airways,1
Air Taxi - Raco Helicopters Corp.,1
Air Continental,1
Okanagan Helicopters,1
LAC Columbia,1
British Airtours,1
Trans Air Services,1
Air Wisconsin,1
Lineas Aereas de Angola,1
Eagle Commuter,1
Advance Airlines,1
Rotor Airs Inc - Air Taxi,1
Ambler Air Service,1
Haïti Air Inter,1
CAMBA,1
Aerolineas La Gaviola,1
West Coast Air,1
Butler Aviation Inc.,1
Soldotna Air Services,1
Fiji Air Services,1
Air New England,1
Sea Airmotive,1
Catalina Airlines,1
Swift Aire Lines Inc.,1
Universal Airways,1
Air Rouergue,1
Air 70,1
Rocky Mountain Airways,1
Tyee Airlines,1
Nile Delta Air Services,1
Era Helicopter - Air Taxi,1
Military - Finish Air Force,1
Aeronaves del Peru,1
Military - Kuwait Air Force,1
Florida Commuter Airlines,1
Lineas Aereas,1
Air Florida,1
Inex Adria Aviopromet (Yugoslavia),1
Guyana Airways,1
Aerolineas Argo,1
Oefag Flugdienst,1
NLM (Nederlandse Luchtvaart Maatschappij),1
Sky Train Air,1
Aeroflot /Military - Russian,1
Aeroflot / Military - Russian Air Force,1
Transamazonica,1
TAR,1
Private - Airfast Indonesia,1
Military - Force Aérienne Zaïroise,1
Air US / Private,1
Freedom International,1
Urcupina,1
Helicopter - Air Taxi,1
Private - Corporate,1
Military - Soviet Navy,1
Cascade Airways,1
Transportes Aereos del Caribe,1
Tanzania Aviation,1
Central Air Services,1
F.R. de la Direccion General de Ados,1
Alyemda Airlines,1
Bar Harbor Airlines,1
Philippine Air Force,1
Aloha Airlines,1
Surinam Airways,1
Aero Asahi,1
Holmstoem Air,1
Aero Cozumel,1
Europe Aero Service EAS,1
Evergreen International Airlines,1
Mid Pacific Air,1
Air Ontario,1
Aero Condor,1
Transfair,1
Independent Air Inc.,1
RAM,1
GAS Air,1
Military - Russian Air Force / Military - Russian Air Force,1
T & G Aviation,1
Aero Club Libya,1
Wasa Wings,1
Aero Peru,1
Uganda Airlines,1
Shanxi Airlines,1
Aramar,1
Hang Khong (Vietnam),1
Transporte Aereo Federal,1
Angola Air Charter,1
Lineas Aéreas Suramericanas,1
Calair,1
Air Taxi - Centre Airlines Inc.,1
Olympic Aviation,1
Tepper Aviation,1
Aerial Transit Company,1
Frontier Air,1
MATS - Manila Aero Transport System,1
TAN Honduras,1
Helicsa,1
Helicopteros Nacionales de Colombia,1
SANSA,1
Air Fiordland,1
United Express,1
New England Airlines,1
Lineas Aéreas Cave,1
Military - People's Army/ Military - Peoples Air Force,1
RRC Air Service,1
Military - Royal Lesotho Defence Force,1
Weasua Air Ttansport,1
Aloha Island Air,1
TAUSA,1
Air Taxi - Paramount Aviation Corp.,1
Winchester Air,1
Skylink Airlines,1
Boeing KC-135E,1
Wehite Cap Aviation,1
Partnair,1
Aspring Air,1
Starair,1
Military - Cuban Air Force,1
Midwest Express,1
Kuwait Airways,1
British International Helicopters,1
Private - WNBC,1
Government of Mozambique,1
Southern Air Transport,1
Eastindo,1
Aeromexico / Private,1
Southwest Airlift,1
Leeward Islands Air Transport,1
Military - Zimbabwe Air Force,1
Grand Canyon Airlines / Helitech,1
Military - Armée de l'Air Malgache,1
Air Lanka,1
Military - El Salvador Air Force,1
Ministerstvo Obshchestvo Mashinostroyeniya,1
Goose Bay Air Services,1
Simmons Airlines,1
GLM Aviation,1
Aerocalifornia,1
Air Taxi,1
Aerovias de Guatemala SA,1
Arrow Airways,1
Mountain Air Cargo,1
Sabeni,1
Pel Air,1
Air Carriers Express Services Inc,1
Iraqi Airways,1
Sunflower Airlines,1
Military - Spanish Air Force.,1
Peruvian Naval Aviation,1
Arax Airlines,1
Transport Arien Transregional,1
Commercial Airways (Comair),1
Talia Airways,1
AV Air / American Eagle,1
NFD - Nurnberger Flugdienst,1
Military - Fuerza Aérea Panamena,1
Trans Colorado AL / Continental Express,1
ETA - Empresa Transportes Aéreos,1
Condor Flugdienst,1
Air Taxi - Petroleum Helicopters Inc.,1
Cooper Skybird Air Charters,1
Skywest Airlines / Private.,1
Ryan Air Services,1
Air Malawi,1
Aeroejecutivos Colombia,1
Northwest Airlines,1
Belize Air International Ltd.,1
YPFB Transportes Aereos,1
Sasco Air Lines,1
Air-Lift Commuter,1
Burlington Air Express,1
California Air National Guard,1
Northwest Airlink,1
Pacific Southwest Airlines / Private,1
Alaska Travel,1
Virgin Islands Airways,1
Venezolana Internacional de Aviacion,1
Reeder Flying Service,1
Military - LADE,1
Lehigh Acres Development Inc.,1
Aeroservicios,1
Executive Jet Sales Inc.,1
Antillean Airlines,1
Paraense Transportes Aereos,1
Bavaria Flug,1
Air Congo,1
Compania Dominicana de Aviacion,1
TAG Airlines,1
Charter -Federal Electricity Commission,1
Military - Royal Hellenic Air Force,1
Laos Air,1
Nordchurchaid,1
Allegheny Airlines / Forth Corporation,1
Military - Royal Lao Air Force,1
Canairelief Air,1
Trans Isle Air,1
Air South,1
Compania Mexicana de Aviacion,1
Flying W Airways,1
Ghana Airways,1
Wigmo,1
Islands of the Bahamas Inc,1
Dutch Continental Airways,1
Trans International Airlines,1
"Charter, Golden Eagle Aviation Inc.",1
Shelter Cove Sea Park,1
TAC Colombia,1
Royal Air Laos/PENAS,1
Miliitary - SATENA,1
Lineas Aéreas la Urraca,1
SAESA,1
Monmouth Airways,1
Scenic Air Lines,1
Pan International,1
All Nippon Airways /  Japanese Air Force,1
Air Ivoire,1
Toa Domestic Airline (Japan),1
Hughes Airwest  / Military - US Marine Air Corps,1
National Airways,1
Aerolineas Flecha Austral - ALFA,1
Aviogenex (Yugoslavia),1
New England Aviaiton,1
TAM (Transportes Aereos Militares),1
L'Armée de L'Air,1
American Airlines / Private,1
Rousseau Aviation,1
Trans Caribbean Airways,1
Cargolux,1
Capitol Airlines,1
Aerocosta Colombia,1
Avion Airways,1
Continental Air Transport,1
Aerotechnia,1
Mineral County Airlines,1
Greylock Airways / Private,1
Globe Air,1
Caribbean Airlines,1
Aeralpi,1
Compagnie Air Transport,1
Lake Central Airlines,1
Syrian Arab Airlines,1
Aerocondor de Colombia,1
Transportno Aviatsionno Bulgaro-Soviet Obshchestvo,1
Alaska Coastal Airlines,1
Aerovias Halcon,1
Private - Mainline Aviation,1
Alamo Airways,1
Norair,1
American Flyers Airline,1
Servicios Americanos,1
Belgian International Air Services,1
COHATA,1
Garuda  Indonesia Airlines / Garuda Indonesia Airlines,1
Trans World Airlines / Eastern Air Lines,1
Edde Airlines,1
Paul Kelly Flying Service Inc.,1
International Control Commision,1
Filipinas Orient Airways,1
Rutas Internacionales Peruanes,1
Nordair,1
Air Ferry Ltd,1
Aer Turas,1
Westwing,1
ERA Helicopter,1
MacRobertson Miller Airlines,1
Servicios Aéreos Especiales,1
North Central Airlines,1
Exportada De Sal S.A.,1
Interior Airways,1
Cable Commuter,1
Aerovias del Valle,1
Pan African Airlines,1
Far Aviation - Air Taxi / Speeds Flying - Air Taxi,1
Bulair TABSO,1
North Central Airlines / Private,1
Thai International,1
BKS Air Transport,1
Purdue Airlines Inc.,1
Rinaldo Piaggio,1
Aerovias Rojas,1
Ladeco,1
Ozark Air Lines / Private,1
Air Comores,1
Lao Cathay Airlines,1
Sadia,1
Taiwan Aviation,1
Vehu Akat,1
Helaire Helicopter,1
General Air,1
Lineas Areas del Centro,1
Hamilton Aviation,1
Military - Israel Air Force,1
El Venado,1
Pan American World Airways / KLM,1
Overseas National Airways,1
Survair,1
North Canada Air,1
Skyline Sweden,1
Northern Thunderbird Air Ltd.,1
Jet Avia Charter,1
Atlantic City Airlines,1
Inair Panama,1
Emirates Air Transport,1
Inex Adria Aviopromet / British Airways,1
Temsco Helicopter - Air Taxi,1
Military - Burma Air Force,1
Yacimientos Petroliferos Fiscales,1
Kodiak Western Alaska Airlines,1
Mercer Airlines,1
Frigorifico Maniqui,1
Winship Air,1
Star Aviation,1
Military - Israel  Air Force,1
Inex Adria Aviopromet,1
Connair,1
Wien Air Alaska,1
IAS Cargo,1
New  York Helicopter,1
Fuerza Aérea Uruguaya,1
SADELCA,1
Temesco Helicopter - Air Taxi,1
AirWest Airlines,1
Air Guinee,1
Aeropeca,1
Helikopter Service,1
Gander Aviation,1
Lake Havasu Air,1
LAV - Linea Aeropostal Venezolana,1
Security Air,1
Columbia Pacific Airlines,1
Uruguayan Air Force,1
Servicios Aereos Nacionales,1
Fleming International Airways,1
Valley Air Service,1
"National Jet Services Inc.,  (Air Indiana)",1
TAP (Air Portugal),1
Servicios Aereos Martinez Leon,1
L & J Company,1
Safe Air Cargo,1
Alaska Aeronautical Industries,1
Servicios Aereos Nacionales Airways,1
Transmeridian Air Cargo,1
Monarch Aviation,1
Private KNBC Los Angeles,1
Aerovias Condor,1
Aerocondor,1
Amazonese Importacao e Exportacao,1
Pacific Alaska Airlines,1
Texas International Airlines,1
