,OperadOR
Scibe Airlift Cargo Zaire,1
Aero Sudpacifico,1
Aerocaribbean - Charter,1
Express Airlines - Northwest Airlink,1
Air Senegal / Gambia Airways,1
Kiev Production Association,1
Military - U.S. Army / Military U.S. Army,1
Air Martinique,1
Air Taxi - Papillion Helicopters Ltd.,1
Air Mauritanie,1
Airbus Industrie,1
Military - Dostum-Galboddin Militia,1
Air Ivorie,1
Aerolineas Cuahonte,1
Transoriente Colombia,1
Arall,1
Lockheed AC-130H Hercules,1
Rico Taxi Aero,1
Rwanda Government,1
Kuban Airlines,1
KLM Cityhopper,1
USAir / Skywest Airlines,1
Air Taxi - El Aero Services Inc.,1
Aeroflot Russian International Airways,1
Aurukun Air Services,1
Chalk's International Airlines,1
Sahara,1
British World Airways,1
North Western Air Transport,1
Atlantic Coast Airlines (United Express),1
Baikal Air,1
Syktyvkar Avia,1
Miltiary - U.S. Airforce,1
Alas Chiricanas,1
Canair Cargo,1
Agape Flight Inc.,1
Frigorifico Santa Rita,1
Gambcrest,1
Classic Wings,1
Military - Força Aérea Brasileira,1
Tartarstan Airlines,1
STASA,1
Air Taxi - Airis Helicopters Inc.,1
Nordeste Linhas Aereas,1
Corporate Mobility Inc. - Private,1
EDELCA,1
Continental Express,1
Golden Star Air Cargo,1
Airtech Rajawaldi Udara,1
Carib Air Transport,1
Air Taxi - Bohemia Inc.,1
Temsco Airlines,1
Avalki Air,1
AKF Polet,1
Nationair (chartered by Nigeria Airways),1
L'Express Airlines,1
Aerochasqui,1
Helicol Colombia,1
Okada Air,1
Lina Congo,1
Kamchatavia,1
Military - Federal Nigerian Air Force,1
Aero Eslava,1
Avesca Colombia,1
Aero Ejecutivos,1
Air Taxi - Hawaii Helicopters Inc.,1
Military - U.S. Navy / Military -  U.S. Navy,1
Professional Aviation Services,1
NewCal Aviation,1
Military - Peruvian Air Force - TANS,1
Lone Star Airlines,1
Servicios Aereos Santa Ana,1
Air Tahiti,1
China General Aviation Corporation,1
Volga-Dnepr Airlines,1
Air Bissau,1
Air Taxi - Air Grand Canyon Inc.,1
Georgian Air,1
Military - Unified Yemen Air Force,1
Arctic Circle Air Service,1
Krasnoyarsk Airlines,1
COPA (Panama),1
Scenic Air Tours,1
Metro Cargo,1
Perris Valley Aviation,1
Military - Kenyan Air Force,1
Lauda Air,1
Sankuru Air Service,1
Air Taxi - Uyak Air Services Inc.,1
Cebu Pacific Air,1
Dutch Dakota Association,1
China Southern Airlines / Xiamen Airlines,1
Aircraft Charter Group Inc,1
United Express  / Private,1
Komi Avia,1
Saudi Arabian Airlines / Kazakhstan Airlines,1
Jetcom S.A.,1
Aviation Development Corporation,1
Transported Areos Profesionales - TAPSA,1
Tyumen Aviatrans,1
Million Air,1
Aeroperu,1
Vnokovo Airlines,1
Air Senegal,1
Spair Air Transport,1
Harbour Air,1
Air North,1
Northern Air Cargo,1
Aerolatino (Aerocaribe),1
Archana Airlines,1
China Flying Dragon Aviation (Feilong Airlines),1
Military - Australian Army Aviation,1
Hoseba,1
ValuJet,1
Aeroservicios Empresariales de Durango,1
Southcentral Air,1
Force Area Populaire de Angola,1
Federal Airlines,1
TMK Air Commuter,1
Military - Ariana Afghan Airlines,1
Aeroservice International,1
Parsa,1
Renan Airways,1
Military - Greek Air Force,1
SilkAir,1
Aerosweet Airlines (LVOV),1
STAP,1
Sowind Air,1
Scenic Airlines,1
Military - Luftwaffe / Military - USAF,1
Borneo Airways,1
Military - Israel Air Force /Military -  Israel Air Force,1
Fine Air,1
Goroka Air Services,1
