,ac_type
Fairchild C-119,2
Vickers Viscount 720,2
Ilyushin II-14,2
Curtiss C-46T,2
Douglas DC-8-54F,2
de Havilland Comet 4,2
Boeing B-757-223,2
Military - U.S. Air Force,2
Avro Shackleton MR-2,2
Airbus A310-324,2
LET 410UVP,2
Curtiss C-46D-20-CU,2
Boeing B-29A Superfortress,2
Antonov AN-26V,2
Convair CV-240-7,2
CASA 212-200 Aviocar,2
Convair RB-36H,2
Britten-Norman BN-2A-21,2
Cessna 208A Caravan I Cargomaster,2
Ilyushin II-76,2
Xian Yunshuji Y-7-100C,2
de Havilland DH-89A Dragon Rapide,2
de Havilland Dove 1,2
Douglas C-124C Globemaster,2
Convair CV-440-62,2
de Havilland Comet 4B,2
Cessna 185,2
Antonov An-10A,2
Vickers 615 Viking 1B,2
Boeing B-727,2
Douglas DC-2-115B,2
Airbus A320-232,2
McDonnell Douglas DC-8-55F,2
Handley Page W-10,2
Canadair CL-44J,2
Grumman G-21,2
Stearman 4,2
De Havilland DH-60,2
Fokker F-27 Friendship 600RF,2
Hawker Siddeley HS-748 2,2
McDonnell Douglas MD-81,2
Ford 4-AT-B Tri Motor,2
Vickers Viscount 749,2
Canadair CRJ-200ER,2
Latecoere 32,2
Liore-et-Olivier 213,2
Ford Tri-motor 4,2
Short S-23 Empire Flying Boat,2
Savoia-Marchetti SM.75,2
Bleriot 155,2
Airbus A320-214,2
Antonov 12V,2
Piper PA-31-350 Navajo,2
Lockheed P-3B Orion,2
Heinkel He-70,2
CASA 212 Aviocar,2
Embraer 110P2 Bandeirante,2
Short Sunderland,2
Antonov AN-22,2
Sikorsky S-43,2
Airbus A320-111,2
Tupolev ANT-6,2
Junkers JU-53/3m,2
Sikorsky S-76C,2
Britten-Norman BN-2A-20 Islander,2
Douglas C-47A-5-DK,2
Fokker F7,2
Gates Learjet 24B,2
Stearman C-38,2
Boeing B-747-237B,2
Boeing 707-336C,2
Lockheed Orion 9,2
Douglas DST-A-207A,2
Arava 201,2
IAI 1124 Westwind,2
Fokker F-28 Fellowship 3000,2
Cessna 208 Caravan I,2
NAMC YS-11A-211,2
