,ac_type
Dornier DO.18 (float plane),1
Ford Tri-motor,1
V6 (airship),1
Unknown / Unknown,1
Macchi C-94,1
Douglas DF-151,1
Ford Tri-motor F-VIII,1
Armstrong-Withworth Atlanta,1
Savoia Marchetti S-66,1
De Havilland DH-85,1
Heinkel 116,1
Fairchild 51,1
Lockheed Vega 5B,1
Junkers JU.52,1
Cant Z-506,1
Lioré-et-Olivier H-242,1
De Havilland DH-60 Moth,1
General Aviation GA-43,1
OFM F-VIIb/3m,1
Farman F-301,1
de Havilland DH-50A,1
de havilland 89 Dragon Rapide,1
Stinson  SM-6000B,1
Curtiss Condor T-32,1
Wibault 282T,1
Sikorsky S-38BB,1
Sikorsky S-38 Flying Boat,1
Latécoère 28,1
Breguet 280T,1
Dewoitine D-332,1
Focke-Wulf A-17,1
Kalinin K-7,1
Northrop Delta,1
Farman F-306,1
Sikorsky S-42A  Flying Boat,1
CMASA Wal (flying boat),1
Sikorsky S-38B (flying boat),1
Pitcairns PA-6,1
Latecoere 28-1,1
Cams 53-1,1
Goodyear-Zeppelin U.S.S. Akron (airship),1
Armstrong Whitworth Argosy II,1
Fairchild FC-2W,1
Ford 5-AT-D,1
Curtiss Condor 18,1
Ford 5,1
Junkers W-33,1
Ford Tri-motor 5,1
De Havilland DH-61,1
Stinson SM-6000-B,1
Ford 4-AT-E Tri-motor,1
Douglas DC-2-115A,1
Ford 5-AT-D Tri-Motor,1
Dormier Do-J-Iif Bos Wal flying boat,1
Latecoere 301 (flying boat),1
Vultee V-1,1
Douglas DC-2-120,1
Short S-8 Calcutta flying boat,1
Caudron C-630 Simoun,1
Latécoère 28-1,1
Boeing B-247-D,1
Ford Tri-Motor,1
"Waco, model YLC",1
Lockheed Orion 9E Explorer float plane,1
Savoia-Marchetti S-66,1
General 102-E,1
Ford Tri-Motor / Ford Tri-Motor,1
Stinson SM6000B Tri-motor,1
Boeing 221,1
Ford model 4-AT-E,1
Tupolev ANT-20 / I-5,1
Fokker F-12,1
Farman F-300,1
de Havilland Dragon 1,1
Rochrbach Roland,1
Goodyear-Zeppelin U.S.S. Macon (airship),1
Consolidated Fleetster,1
Wapiti,1
Lockheed Orion 9D,1
Douglas C-124A Globemaster II,1
Fairchild R4Q-2,1
Lockheed L- 749A Constellation,1
Boeing Vertol CH47B (helicopter),1
Aero Commander 680E,1
Curtiss C-46A-55-CK,1
Beechcraft C35,1
Antonov An-10,1
Boeing B-720-047B,1
Nord 262A-34,1
Boeing B-707-323 / Cessna 150,1
Nord 262E,1
Boeing B-727-2A7,1
BAC One-Eleven  424EU,1
Aero Commander 500-B,1
Douglas DC-3-DST,1
Fokker F-27 Friendship 300,1
NAMC YS-11A-219,1
Boeing - EC-135N,1
McDonnell Douglas DC-8-63AF,1
McDonnell Douglas DC-8-63,1
Gates Learjet 23,1
McDonnell Douglas DC-9-33CF,1
Hawker Siddeley HS-748-209,1
Aerospatiale Caravelle 3,1
Piper PA-32,1
Lockheed EC-121P,1
Handley Page Jetstream 1,1
Convair CV-990-30A-6,1
Hawker Siddeley HS-748 1,1
De Havilland Dove,1
Ilyushin 14P,1
McDonnell Douglas DC-9-31 / F4-B,1
NAMC YS-11A-227,1
NAMC YS-11A-202,1
BAC Super VC-10 1154,1
Fairchild-Hiller FH-227D/LCD,1
Douglas C-54D-1-DC,1
F-86 Sabrejet,1
Shorts SC-7 Skyvan 3-300,1
de Havilland Canada DHC-4 Caribou,1
Douglas DC-3 (C-47A-DK),1
Sud-Aviation SE210 Caravelle,1
McDonnell Douglas DC-8-52,1
Boeing 737-200,1
Convair CV-580/De Hav. Twin Otter 100,1
Hawker Siddeley Trident 1C,1
Convair CV-880-22M-21,1
Pilatus PC6CH2,1
Wright Byplane,1
Boeing B-727-281 / Air Force F86F,1
Aerospatiale Caravelle Super 10B,1
Fairchild-Hiller FH-227-B,1
Sud-Aviation Caravelle VI-R,1
Hawker Siddeley HS-748-230 Srs. 2A,1
HAL-748-224 Srs.2,1
Douglas DC-9-31 /Cessna 206,1
Boeing Vertol CH-47C,1
Vickers Viscount 828,1
Lockheed C-130K Hercules,1
Beechcraft B99,1
Antonov An-14,1
Boeing B-727-193,1
Boeing Vertol CH-47A (helicopter),1
Antonov An-12PL,1
Lockheed 18-08 Lodestar,1
Boeing B-707-328B,1
Boeing B-707-328C,1
Convair CV-340-68B,1
Airspeed AS.57 Ambassador 2,1
Bell UH-1H / Bell UH-1H / Bell UH-1H,1
Piaggio PD-808,1
Lockheed L188A Electra,1
Lockheed Martin L-100-10,1
Boeing B-707-344C,1
Bell UH-1H / Bell UH-1H (helicopter),1
Boeing B-707-465,1
MiG-15 UTI,1
McDonnell Douglas DC-9 and Cessna 150F,1
Vickers Viscount 803,1
Douglas DC6B,1
Boeing B-727-92C,1
BAC VC-10-1101,1
Boeing B-707-138B,1
Douglas C-54P,1
Sikorsky CH-53A (helicopter),1
Beechcraft 18H,1
Douglas DC-C-54A,1
Convair CV-880-22-1,1
Boeing B-707-131,1
Convair CV-880-22M-3,1
Sud Aviation Caravelle 10R,1
Handley Page HPR-7 Herald 214,1
Lockheed C130B,1
Boeing B-727-22 / Cessna 310,1
Bell UH-1B / Sikorsky CH53A helicopters,1
Boeing 707-329C,1
Curtiss C-46C,1
McDonnell Douglas DC-8,1
Convair CV-580 / Cessna 150,1
Antonov An-12TB,1
Grumman C-2A,1
Boeing C-97,1
Douglas DC-4 / USAF F-4E,1
Convair CV-640,1
MD Douglas DC-9-31/Piper Cherokee PA-28,1
Cessna 172H,1
Pilatus Pc-6C,1
Boeing 707-331C,1
Sud Aviation SE-210 Caravelle 6N,1
De Havilland DH-104 Dove,1
Beechcraft B-99,1
Ilyushin IL-14M / Antonov An-12BP,1
Lockheed EC-121M,1
Boeing Vertol CH47C (helicopter),1
de Havilland DHC-6,1
Handley Page Dart Herald 201,1
Boeing B-727-22QC,1
Boeing B-727-113C,1
Fairchild-Hiller FH227C,1
Douglas C-47A-25,1
Avia 14-40,1
Britten-Norman BN-2 Islander,1
Sud-Aviation Caravelle 3,1
Cessna 402 / Piper PA-28,1
Hawker Siddeley HS-748-215-2,1
Vickers Viscount 739A,1
Cessna 310C,1
Vickers Viscount 724,1
Douglas DC-3A-197D,1
Embraer C-95 Bandeirante,1
Boeing B-727-282,1
Boeing 707-360C,1
Britten-Norman BN-2A-8 Trislander,1
Sikorksky CH-53 (helicopter),1
Convair CV-300,1
McDonnell Douglas DC-8-62H,1
Boeing - EC-135K,1
Douglas DC-7BF,1
Vickers Viscount 764D,1
Canadair CL-44D4-2,1
Shorts SC-7 Skyvan 3-200,1
Bell 206B JetRanger,1
Lockheed EC-130Q,1
Sikorsky S61L,1
SNIAS SA330J,1
Douglas DC-3-3A,1
Boeing B-747-121 / Boeing B-747-206B,1
Avia 14T,1
Vickers Viscount 838,1
Douglas DC-8,1
Boeing B-707-366C,1
NAMC YS-11A-500,1
Boeing B-707-31,1
McDonnell Douglas DC-9-31 / Trident 3B,1
Antonov AN-24 / Yakovlev Yak-40,1
Hughes 369HS,1
Sud Aviation SE 210 Caravelle III,1
Douglas C-54E,1
BAC One-Eleven 420EL,1
Aerospatiale Caravelle 10R,1
Beech G18S,1
Antonov AN-24N,1
Tupolev TU-134A / Tupolev Tu-134A,1
Hindustan Aeronautics 748 2-224,1
LET 410M turbojet,1
Cessna  501 Citation,1
Hawker Siddeley HS-748-1,1
Hindustan Aeronautics 748-2M,1
de Havilland DHC-6-200,1
Sikorsky S61-L,1
Boeing B-727-2D3,1
Aerospatiale Nord 262A-33,1
Beech BE-70,1
Nord 262,1
Boeing B-707-326C,1
Cessna 421 Golden Eagle,1
Vickers Viscount 764 D,1
McDonnell Douglas DC-8-Super 63CF,1
Bell 205-1,1
Douglas R6D-1 (DC-6),1
Boeing B-727-214 / Cessna 172,1
Soloy 12EJ3,1
Vickers Viscount 782D,1
de havilland Canada Twin Otter 200,1
Beech Queen Air A80,1
Cessna T207A,1
British Aerospace 748 2A,1
Fokker F-28 Fellowship 1000 / MiG-21,1
Aero Commander 500A,1
Boeing B-737-275,1
Boeing 707-373,1
Ilyushin IL-18L,1
Airbus A300,1
Aerospatiale Caravelle 6N,1
Boeing B-747-130,1
Douglas C-47A-30,1
Antonov An-2 / Mil Mi-8T,1
Beechcraft 95-B55,1
Boeing B-727-121C,1
Fairchild Hiller FH1100,1
Boeing 307B-1 Stratoliner,1
Aerospatiale Caravelle 10B3,1
Mc Donnell Dougals DC-9,1
Hawker Siddeley HS 748-260,1
Boeing Vertol CH-47 (helilcopter),1
Handley Page HPR-7 Herald 101,1
Convair 600,1
Norman BN-2A-6,1
GAF Nomad N-22B,1
Sud-Aviation Caravelle 10-R,1
Volpar C45G,1
Boeing B-707-345C,1
Tupolev TU-124V,1
Tupolev TU-144,1
Lockheed P-3C / Convair CV-990-30A-5,1
Vickers Vanguard 952,1
HAL-748-224,1
MD Douglas DC-9-32/Convair CV-990A,1
Boeing B-707-3D3C,1
Lockheed L-1011 TriStar 1,1
Convair CV-880 / McDonnell DC-9-31,1
Convair CV-990-30A-5 Coronado,1
Boeing B-727-251,1
Antonov An-2 / Antonov An-12,1
de Hav Can. DHC-6 Tw Otter 100/ Cessna,1
Douglas DC-3-313,1
Tupolev TU-154A,1
BAC One-Eleven 527FK,1
Boeing B-747-131F,1
Boeing B-727-95,1
Bell 205 A-1 helicopter,1
Cessna 207,1
Ilyushin IL-18E,1
IAI Arava 201,1
Ilyushin II-14P,1
Grumman G-21A seaplane,1
Hawker Siddeley HS-748-246,1
Lear Jet 24A,1
Boeing B-720B-023B,1
Mitsubishi MU-2B,1
Piper PA-23-250 Aztec,1
Convair CV-440-12,1
de Havilland DH114 Heron 2E,1
Yakovlev Yak-40,1
Boeing 727-24C,1
Vickers 837 Viscount,1
Boeing B-727-225,1
Hawker Siddeley HS-748-235 Srs. 2A,1
BAC One-Eleven 524FF,1
Sikorsky CH-53C (helicopter),1
Lockheed C-5A Galaxy,1
Canadair CL-44,1
Transall C-160,1
BAC One Eleven 204AF,1
de Havilland DH-104 / Piper PA-28,1
Convair B-36,1
Convair CV-440-59,1
Avro 688,1
Lockheed L 1049G Super Constillation,1
Saab Scandia,1
Bristol 175 Britannia 312,1
Martin Mariner,1
Vickers Viscount 755D,1
Vickers Viscount 701C,1
Fairchild C-123 Provider,1
Boeing B-52 / Boeing B-52,1
Curtiss C-46A-CU,1
Vickers 621 Viking 1,1
Lockheed C-130A-II Hercules,1
Tupolev TU-104-A,1
Vickers Viscount 745D / T-33A,1
Lockheed  188A Electra,1
Douglas DC-7 / F-100F,1
Douglas C-124C / Fairchild C-119C,1
Douglas DC-7-C,1
Fairchild R4Q / Dougas AD-6 skyraider,1
Consolidated PBY-5A  Catalina,1
Douglas VC-47A,1
Airspeed Ambassador AS-57,1
Douglas C-118A / Lockheed P2V-5F,1
Short Solent 3 (flying boat),1
Boeing - 377-10-29 Stratocruiser,1
Ilushin Il-14,1
Let Aero 45S,1
Douglas C-47A-90 (DC-3),1
Beechcraft Bonanza 35,1
Vickers Viscount 794D,1
MD DC-8-11 / Lockheed  1049 S Const,1
Goodyear ZPG-3W (airship),1
Curtiss C-46A-60-CK,1
Ilyushin 14M,1
Douglas C-54A-DC,1
Tupolev Tu-104A,1
de Havilland DH-114 Heron 2,1
Vickers Viscount 739B,1
Douglas DC-3 (C-53-DO),1
Douglas DC-6AB,1
Lockheed 1049G Super Constellation,1
Avro Lancaster 1,1
Sikorsky S-58C helicopter,1
Ilushin IL-14,1
de Havilland DH-89 Dragon Rapide,1
Convair CV-340-62,1
Vickers Viscount 763,1
Lockheed 749A-79-32 Constellation,1
Fairchild F-27 / Cessna 310,1
Antonov 10A,1
Douglas DC-3 / USN R4-D6,1
Sud Aviation Caravelle 1,1
de Havilland Canada U-1A Otter,1
Vickers Viscount 827 / Fokker T-21,1
Aero Commander AC 520,1
Saab Scandia 90A-1,1
de Havilland DH-106 Comet 4,1
Vickers 815 Viscount,1
North American F-100D-25NA,1
Avro 688 Super Trader,1
Lockheed 1049C Super Constellation,1
Lockheed L-414 Hudson,1
L-Hudson,1
Vickers 634 Viking,1
Fairchild C119G / Fairchild C119G,1
Convair CV-340-32,1
Douglas R6D-1 (C-118B),1
de Havilland DH.104 Dove,1
Consolidated PBY-5 Catalina,1
Grumman G-73 Mallard,1
Martin 202A / DC-3,1
Avro Shackleton M-2 / Avro Shakleton M-2,1
Douglas C47,1
Boeing B377-10-28 Stratocruiser,1
Vickers 720 Viscount,1
Lockheed R7V-1,1
Ilyushin IL -12,1
Lockheed 1049C-55-81 S Constellation,1
Ilyushin P-14,1
Lockheed 749A-79 Constellation,1
Lockheed C-28,1
Douglas C-47A-30-DK,1
Canadair C-4-1 Northstar / Harvard Mark II,1
Fairchild C-110F,1
Lockheed 749A-79-33 Constellation,1
C-46,1
Curtiss-Wright C46D-CU,1
F-88 Sabre Jet,1
Vickers Valetta,1
VC-Viking,1
Douglas C-46A-CU ( DC-3),1
Convair CV-240-12,1
Douglas MC-54M,1
Douglas C124-DL Globemaster II,1
Boeing RB-52B,1
Lockheed 749C-79-12 Constellation,1
Lockheed Super Constellation,1
Vickers Valetta C-Mk.1,1
Consolidated B-24J,1
Boeing C-97C,1
Douglas C-47-A-75-DL Skytrain,1
Vickers Viscount 701,1
Blackburn Beverley C Mark 1,1
Curtiss C-46D-15--CU,1
Douglas DC-7B / U.S. Air Force F-89J,1
SNCASE SE.2010 Armagnac,1
Lockheed C-121C Super Constellation,1
Vickers 708 Viscount,1
Canadair DC-4M-2 Northstar,1
Lockheed 749-79-34 Constellation,1
Ilyushin IL-12B,1
Handley Page HP-1 Hermes,1
Boeing  377 Stratocruiser,1
Douglas C188-B,1
Stinson AT-19,1
Douglas DC-3 / Cessna 170B,1
Vickers Viscount,1
Douglas DC-7 / Lockheed S Constellation,1
Lockheed 1049E-55 Super Constellation,1
CF-100 Mark 4B,1
Aero Commander  520,1
Boeing 377 Stratocruiser 10-30,1
Douglas R5D2,1
Avro 691 Lancastrian IV,1
Convair C-131D (CV-340-79),1
McDonnell Douglas DC-8-51,1
Handley Page Hastings C Mark 1,1
Boeing B-707-131B / L1049C Constellation,1
Douglas C-53-DO (DC-3A),1
Boeing B-727-23,1
Boeing 307 Stratoliner B-1,1
Douglas DC-3 / Piper PA-18A,1
Beechcraft C-45H,1
Boeing B-707-121B,1
Transportes Aéreos Orientales,1
Aero Commander 680,1
Lockheed KC-130F,1
Vickers 804 Viscount,1
de Havilland 106A,1
EC-121H (Super Constellation),1
Boeing C-135A,1
DC3(C47),1
Bell UH-1D / Bell UH1D (helicopters),1
Boeing B-720-040B,1
Lockheed 1049G-55 Super Constellation,1
Handley Page Dart Herald 207,1
Canadair CP-107 MK-2,1
Douglas DC--3,1
Handley Page HPR-7 Herald 211,1
Tupolev Tu-124V,1
Curtis C-46A,1
Boeing B-707-331,1
Lockheed P-3A,1
Beechcraft C45G,1
Douglas A-3D Skywarrior,1
Fairchild C-123C,1
Douglas DC-6-54B,1
Ilyushin IL-18A,1
de Havilland Canada CV-2B Caribou,1
Vickers Viscount 818,1
Douglas C-47J,1
MD Douglas DC-9-15 / Beechcraft Baron-55,1
AT L98 Carvair,1
Canadair CL-44D4-1,1
Douglas C-47A-80-DL,1
Lockheed L-1649A Starliner,1
Tupolev TU-114B,1
Consolidated  PBY-5A Catalina,1
Boeing 727-21,1
NAMC-YS-11-111,1
Lockheed EC-121H,1
Bell 204B helicopter,1
Vickers Viscount 832,1
Boeing B52 Stratofortress/Boeing KC 135A,1
Sud Aviation SE-210 Caravelle,1
Bristol Britannia 102,1
Chance Vought F-8E,1
Beechcraft H50,1
de Havilland 104-6A,1
Douglas DC-8-52,1
Curtis C-46E-1-CS Commando,1
Boeing CH47A (helicopter),1
Grumman G-21A,1
Boeing B-707-436,1
Tupolev Tu-114,1
Convair CV-440-0,1
Fairchild C-123B,1
Lockheed L-749A-79 Constellation,1
Vickers Viscount 710C,1
Beechcraft 35-B33 Debonair,1
Tupolev Tu-104B,1
Boeing B307-1 Stratoliner,1
Channel Air Bridge,1
KB-50,1
Vickers Viscount 804,1
Boeing B-707-441,1
Saab Scandia / Cessna 310,1
Vickers 828 Viscount,1
Convair CV-340/440,1
Convair CV-440 -62,1
Lockheed 1049H-82 Super Constellation,1
Douglas C-47 Skytrain,1
Lockheed P2V-7,1
Bristol Britannia 314,1
Lockheed C121J,1
Boeing 720,1
Consolidated Catalina,1
Douglas C-47A-1,1
Fairchild C-119G / Fairchild C-119,1
Boeing 720-030B,1
Aero Commander 680F,1
Lockheed 188C  Electra,1
Douglas C-47A (DC-3),1
Vickers Viking 3B,1
McDonnell Douglas DC-8-12,1
Douglas C-124A-DL,1
C-47(DC-3),1
Boeing B-707-320,1
Douglas C-118A Liftmaster,1
Beechcraft AT-11 Kansan,1
Vickers Viscount 754D / Douglas C-47,1
Boeing B-720-051B,1
Twin Apache,1
Caravelle VIR,1
Curtiss C-46-CU,1
Boeing C-135B,1
Lockheed P-2E Neptune,1
Fairchild C-119G / Fairchild C-119G,1
Sud Aviation Caravelle 3,1
Piper PA-23,1
Bristol Britannia 312,1
Beech D18S,1
Boeing B-707-121,1
Curtis C-46A-20-CU,1
McDonnell Douglas DC-8F-54F,1
BAC One-Eleven 200AB,1
Boeing Vetrol 107 II helicopter,1
Douglas C-74,1
Douglas C-133A,1
Vickers Viscount 768D,1
Boeing KC-135A / Boeing KC-135A,1
Ilyushin Il-14P,1
Vickers Viscount 708,1
Catalina Flying Boat,1
VEB 14P,1
Convair CV-340-59,1
Vickers Viscount 759D,1
H-21B,1
Avro 685 York C1,1
Piper PA-24-250 Comanche,1
Antonov An 26B-100,1
